buyer,seller,rate,date
638824066,790142392,2,06/13/2016
435539338,790142392,2,06/11/2016
638824066,790142392,2,06/10/2016
626518021,790142392,2,06/07/2016
607570310,790142392,2,06/06/2016
983757462,790142392,2,06/05/2016
790142392,603358755,2,06/04/2016
778472997,790142392,2,05/28/2016
996697297,790142392,2,05/28/2016
226483655,790142392,2,05/20/2016
770043532,790142392,2,05/19/2016
621184953,790142392,2,05/13/2016
394333865,790142392,2,05/13/2016
838879875,790142392,2,05/13/2016
297093308,790142392,2,05/10/2016
872549983,790142392,2,04/27/2016
724806168,790142392,2,04/27/2016
235710741,790142392,2,04/24/2016
270098917,790142392,2,04/23/2016
391170774,790142392,2,04/18/2016
187471463,790142392,2,04/17/2016
154496169,790142392,2,04/14/2016
790142392,410611645,2,04/09/2016
807294931,790142392,2,04/07/2016
231013676,790142392,2,04/01/2016
795166693,790142392,2,03/25/2016
910650715,790142392,2,03/25/2016
669148047,790142392,2,03/24/2016
819489711,790142392,2,03/24/2016
790142392,469435437,2,03/21/2016
688028243,790142392,2,03/21/2016
998137593,790142392,2,03/19/2016
649651254,790142392,2,03/19/2016
917955984,790142392,2,03/17/2016
446963189,790142392,2,03/17/2016
171965599,790142392,2,03/16/2016
258293419,790142392,2,03/14/2016
790142392,160942655,2,03/14/2016
790142392,384552277,2,03/14/2016
688028243,790142392,2,03/14/2016
790142392,529673315,2,03/12/2016
295225746,790142392,2,03/10/2016
723139722,790142392,2,03/08/2016
165726653,790142392,2,03/02/2016
489360716,790142392,2,02/29/2016
224452891,790142392,2,02/27/2016
844803746,790142392,2,02/26/2016
803052762,790142392,2,02/22/2016
208793270,790142392,2,02/20/2016
665654447,790142392,2,02/18/2016
322744247,790142392,2,02/12/2016
741683563,790142392,2,02/11/2016
656122596,790142392,2,02/10/2016
443195131,790142392,2,02/07/2016
277970601,790142392,1,06/20/2017
713033915,790142392,1,01/30/2017
878043112,790142392,1,12/23/2016
173990858,790142392,1,12/08/2016
793530512,790142392,1,09/06/2016
967483860,790142392,1,08/06/2016
947621876,790142392,1,08/05/2016
705557118,790142392,1,06/10/2016
791691541,790142392,1,06/10/2016
493669211,790142392,1,06/07/2016
925417676,790142392,1,06/04/2016
358545720,790142392,1,04/07/2016
909074034,790142392,0,12/22/2016
665342122,790142392,0,05/15/2016
673470355,790142392,0,03/14/2016
366393537,790142392,0,03/11/2016
366393537,252038036,2,06/04/2016
366393537,970268321,2,05/24/2016
366393537,265960702,2,05/21/2016
366393537,106940810,2,05/07/2016
366393537,790142392,2,03/11/2016
286236588,106940810,2,10/16/2018
343310464,106940810,2,10/13/2018
379947277,106940810,2,10/13/2018
106940810,453699217,2,09/28/2018
193270077,106940810,2,09/27/2018
509272980,106940810,2,09/27/2018
715367385,106940810,2,09/25/2018
226542744,106940810,2,09/25/2018
106940810,138890775,2,09/21/2018
